279,272,914,600,236,194,133,804,668,537
201,591,469,704,480,472,693,969,502,451
473,519,364,697,696,523,109,416,763,873
290,707,192,975,352,406,108,346,985,408
725,476,48,676,34,134,942,494,386,853
681,375,785,100,420,301,353,543,442,946
701,551,308,528,49,934,922,942,733,313
286,137,712,701,348,905,225,855,765,710
281,948,571,160,133,634,695,584,663,257
598,239,995,866,938,240,807,730,709,836
996,458,304,963,378,487,777,530,415,457
811,917,656,586,599,289,184,901,921,150
421,896,517,720,722,727,848,34,287,302
275,238,709,339,978,938,749,742,388,290
928,398,458,205,729,562,594,879,551,800
581,364,503,21,332,36,598,890,210,279
75,143,643,85,19,999,370,938,430,183
295,429,863,732,904,700,426,400,294,30
333,705,848,252,216,662,614,477,545,631
436,708,769,376,846,752,546,25,186,288
634,693,240,657,273,469,87,693,29,825
881,274,583,90,143,148,710,815,447,160
698,889,937,270,387,197,425,409,520,262
127,471,251,197,459,168,217,446,387,725
744,744,287,606,993,776,27,551,36,906
627,880,611,446,86,176,831,91,185,469
638,155,604,187,774,994,650,375,876,891
362,598,333,441,42,206,502,784,491,857
454,878,911,826,24,625,847,574,919,221
361,752,715,282,815,848,440,384,683,177
245,856,782,861,370,393,688,96,538,52
801,998,96,36,686,26,246,549,368,356
657,248,302,725,672,472,2,306,923,756
561,163,777,41,716,519,321,715,772,70
714,409,690,610,982,362,988,595,321,943
836,110,544,911,779,361,916,977,18,541
725,721,425,945,11,610,784,799,544,460
930,797,970,699,986,282,284,52,942,666
412,412,240,336,999,390,644,640,184,409
723,62,824,772,109,606,800,455,174,209
650,783,631,912,469,341,701,384,942,213
839,227,492,206,856,567,540,82,469,149
947,331,329,320,658,408,683,215,875,803
353,593,538,201,870,740,239,813,382,466
344,169,811,881,132,10,936,453,530,614
994,629,447,485,47,894,958,657,414,224
65,220,894,587,326,997,659,125,510,614
163,43,79,365,270,633,896,380,716,408
164,815,392,131,600,258,218,342,39,772
547,692,982,596,121,20,601,383,338,310
547,99,662,895,973,540,645,479,302,848
623,747,736,568,746,660,11,269,686,108
827,93,453,104,933,353,390,246,39,332
624,508,604,394,868,114,615,210,51,22
911,162,678,258,593,381,997,428,708,892
879,802,29,254,816,951,842,221,896,951
220,215,16,291,493,333,592,305,473,644
92,659,410,709,165,514,859,491,507,239
70,897,264,437,528,269,672,207,394,717
189,234,467,949,815,134,25,321,368,590
479,213,245,674,104,431,904,197,666,622
690,712,237,801,271,250,394,838,186,674
593,181,543,235,762,353,271,898,493,627
158,959,214,2,184,718,464,99,554,641
794,984,902,244,414,504,582,308,454,828
689,820,730,281,819,30,324,423,518,827
253,701,327,935,624,550,292,740,675,492
465,265,359,935,449,438,893,346,785,7
320,507,345,139,49,845,476,543,509,652
39,60,756,364,310,882,570,334,690,647
240,351,903,985,21,223,465,275,85,979
326,519,500,776,135,336,484,453,0,675
193,131,583,258,222,828,545,764,257,900
224,69,49,113,664,821,648,187,705,879
571,303,471,664,902,854,869,818,252,709
553,725,652,537,248,33,928,640,506,817
263,687,616,15,682,772,346,473,980,903
749,133,394,866,810,439,778,81,417,883
943,920,156,48,394,305,368,900,669,302
894,918,690,320,921,772,544,589,879,337
157,280,778,10,191,568,465,670,244,358
607,808,937,812,445,530,23,687,635,984
898,969,41,46,252,182,92,686,623,216
565,362,711,689,155,930,157,292,912,515
760,345,449,573,885,699,487,230,408,296
539,944,91,68,407,316,211,394,799,762
738,665,942,879,198,126,292,481,89,844
797,9,834,172,45,597,904,235,56,497
455,935,118,601,563,653,3,54,825,962
285,227,709,643,750,515,166,572,562,690
134,698,234,236,518,750,286,69,342,318
490,661,153,105,543,135,559,718,146,968
292,41,890,663,661,604,675,365,243,399
135,81,505,819,356,608,0,576,465,208
17,337,18,440,90,17,963,446,802,612
544,884,854,764,571,751,6,231,119,542
26,441,282,100,493,883,863,817,876,208
273,547,464,224,667,621,590,115,764,865
672,299,769,887,637,846,355,58,99,751
287,635,789,784,996,373,911,735,55,844
574,234,946,258,397,375,339,512,922,756
568,85,70,879,601,438,708,44,926,258
393,98,943,433,481,432,218,472,75,673
463,44,994,896,912,145,4,146,876,917
176,503,643,717,88,444,163,284,974,633
144,988,443,778,491,130,706,396,497,387
676,437,724,476,820,176,880,923,946,621
371,224,813,233,103,623,961,6,636,132
441,665,158,835,582,948,182,636,581,912
293,376,678,729,106,778,289,222,132,92
171,787,748,781,638,445,594,148,294,353
944,60,816,377,931,316,925,604,365,834
932,313,264,187,510,16,461,625,571,885
859,114,962,450,875,977,677,791,287,547
211,681,243,144,70,612,235,643,453,918
508,520,77,898,720,770,448,342,241,630
783,777,38,343,579,844,731,846,255,52
10,614,74,97,864,418,241,791,947,348
945,990,895,426,530,760,176,935,15,86
641,179,33,95,67,272,596,639,625,610
913,792,976,250,434,959,412,880,404,797
694,530,598,448,650,621,705,86,428,166
392,174,402,230,966,538,997,528,526,341
521,512,813,53,300,962,293,429,131,884
723,282,88,777,480,168,824,403,76,880
961,380,542,304,440,706,344,55,288,420
935,627,599,757,113,681,234,699,311,408
257,52,378,891,85,839,666,841,942,226
209,275,346,885,941,873,191,834,261,401
457,352,171,61,630,339,56,848,7,737
53,557,698,387,325,899,634,782,640,257
960,405,434,738,275,349,27,605,26,277
607,157,770,431,941,991,292,567,381,685
798,24,147,166,105,325,416,367,858,611
543,778,794,152,389,578,696,391,241,888
327,428,60,685,730,838,986,765,347,998
110,828,139,747,140,536,755,815,871,114
769,849,91,890,799,159,964,454,878,408
566,526,904,500,326,368,466,257,645,475
952,539,749,938,154,358,636,903,396,211
646,505,684,101,527,347,524,503,5,74
224,372,236,307,97,90,315,959,816,491
411,149,830,434,768,146,56,303,760,463
88,967,913,702,886,875,247,930,413,986
883,251,370,638,535,395,632,336,157,688
367,369,728,342,203,711,434,56,648,16
140,707,306,541,380,552,515,918,568,563
894,918,298,492,89,603,836,906,423,628
802,423,67,367,478,124,897,750,439,561
974,797,515,745,504,531,371,296,519,987
814,978,547,918,533,306,655,310,230,531
348,489,573,463,568,816,780,993,917,779
74,857,30,508,626,932,820,540,154,556
439,14,436,451,119,214,714,40,139,556
778,700,296,419,185,92,187,353,292,363
827,787,601,738,325,175,908,415,10,565
974,384,534,114,159,378,623,322,980,322
206,241,812,319,194,751,788,603,783,782
2,324,606,9,111,931,686,74,230,895
768,176,385,111,448,644,970,979,631,750
311,205,630,681,615,522,373,623,457,119
369,882,475,401,139,833,936,861,437,443
491,929,16,995,480,445,642,279,322,785
131,551,159,501,590,295,935,175,836,977
955,428,579,578,811,222,766,223,256,950
63,644,560,447,840,944,287,951,878,481
826,610,510,247,600,116,858,184,153,155
124,496,472,503,875,274,533,7,523,727
899,866,479,801,256,358,442,573,243,776
539,996,215,648,990,796,182,992,670,207
705,498,9,792,155,11,717,325,190,568
854,541,285,123,17,240,192,362,738,861
950,820,58,156,909,65,125,329,829,573
759,601,218,384,254,21,272,477,243,624
769,405,82,102,322,471,849,739,955,607
630,204,901,40,417,30,919,7,168,98
369,398,552,618,129,465,97,499,523,952
155,654,883,386,341,548,390,562,772,302
742,969,960,15,837,656,458,198,233,455
90,219,950,471,478,941,969,841,140,454
88,745,40,29,119,226,441,661,925,295
301,686,501,187,693,72,528,382,332,440
536,149,929,137,432,989,955,720,359,803
324,611,715,491,734,790,217,19,386,556
147,970,496,735,539,315,593,677,684,624
632,343,240,461,327,646,75,11,733,780
726,693,365,133,136,394,650,184,951,503
462,781,36,0,970,941,980,499,656,849
739,394,20,992,724,531,161,416,683,85
447,168,915,761,802,583,99,107,839,261
827,275,847,541,396,485,622,995,925,433
157,440,715,79,779,350,776,995,250,530
972,408,806,694,225,965,929,544,856,369
153,602,17,500,291,782,575,939,504,734
882,191,805,942,14,403,849,783,833,256
912,176,282,400,125,442,397,707,788,113
915,160,604,450,294,964,531,582,626,240
4,906,294,922,284,799,530,475,211,788
939,608,653,6,346,111,192,658,618,344
720,551,472,93,877,331,133,528,430,704
655,480,975,738,766,911,478,175,394,322
924,892,449,526,838,49,326,643,483,696
589,568,312,455,531,964,871,950,995,212
